maTTHC;tenTTHC;DoiTuong;LinhVuc;;;;;;
1.004572.H17;Thủ tục công nhận cơ sở kinh doanh dịch vụ ăn uống đạt tiêu chuẩn phục vụ khách du lịch;"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.004628.H17;Thủ tục cấp thẻ hướng dẫn viên du lịch quốc tế;Công dân Việt Nam;Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.004623.H17;Thủ tục cấp thẻ hướng dẫn viên du lịch nội địa;Công dân Việt Nam;Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.003717.H17;Cấp Giấy phép thành lập Văn phòng đại diện tại Việt Nam của doanh nghiệp kinh doanh dịch vụ lữ hành nước ngoài;Tổ chức (không bao gồm doanh nghiệp, HTX);Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.003490.H17;Thủ tục công nhận khu du lịch cấp tỉnh;Tổ chức (không bao gồm doanh nghiệp, HTX);Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.004605.H17;Thủ tục cấp Giấy chứng nhận khóa cập nhật kiến thức cho hướng dẫn viên du lịch nội địa và hướng dẫn viên du lịch quốc tế;Công dân Việt Nam;Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.004551.H17;Thủ tục công nhận cơ sở kinh doanh dịch vụ thể thao đạt tiêu chuẩn phục vụ khách du lịch;"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.001440.H17;Thủ tục cấp thẻ hướng dẫn viên du lịch tại điểm;Công dân Việt Nam;Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.004594.H17;Thủ tục công nhận hạng cơ sở lưu trú du lịch: hạng 1 sao, 2 sao, 3 sao đối với khách sạn, biệt thự du lịch, căn hộ du lịch, tàu thủy lưu trú du lịch;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
2.001628.H17;Thủ tục cấp giấy phép kinh doanh dịch vụ lữ hành nội địa;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.000028.H17;Cấp Giấy phép lưu hành xe quá tải trọng, xe quá khổ giới hạn, xe bánh xích, xe vận chuyển hàng siêu trường, siêu trọng trên đường bộ;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
2.001921.H17;"Chấp thuận vị trí, quy mô, kích thước, phương án tổ chức thi công biển quảng cáo, biển thông tin cổ động, tuyên truyền chính trị; chấp thuận xây dựng, lắp đặt công trình hạ tầng, công trình hạ tầng kỹ thuật sử dụng chung trong phạm vi bảo vệ kết cấu hạ tầng đường bộ; chấp thuận gia cường công trình đường bộ khi cần thiết để cho phép xe quá khổ giới hạn, xe quá tải trọng, xe bánh xích lưu hành trên đường bộ";"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.000703.H17;Cấp Giấy phép kinh doanh vận tải bằng xe ô tô, bằng xe bốn bánh có gắn động cơ;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.004242.H17;Công bố lại hoạt động cảng thủy nội địa;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.003658.H17;Công bố lại hoạt động bến thủy nội địa;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.001751.H17;Cấp bổ sung xe tập lái, cấp lại Giấy phép xe tập lái;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.002856.H17;Cấp, cấp lại Giấy phép liên vận giữa Việt Nam và Lào;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.002063.H17;Gia hạn thời gian lưu hành tại Việt Nam cho phương tiện của Lào;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001023.H17;Cấp, cấp lại Giấy phép liên vận giữa Việt Nam và Campuchia;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001577.H17;Gia hạn thời gian lưu hành tại Việt Nam cho phương tiện của Campuchia;"Công dân Việt Nam; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.002877.H17;Cấp, cấp lại Giấy phép liên vận giữa Việt Nam, Lào và Campuchia;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001061.H17;Cấp phép thi công nút giao đấu nối vào đường quốc lộ đang khai thác;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001046.H17;Chấp thuận thiết kế nút giao đấu nối vào đường quốc lộ đang khai thác;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
2.000033.H17;Thông báo hoạt động khuyến mại;Doanh nghiệp;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.001474.H17;Thông báo sửa đổi, bổ sung nội dung chương trình khuyến mại;Doanh nghiệp;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.000631.H17;Đăng ký sửa đổi, bổ sung nội dung hoạt động bán hàng đa cấp tại địa phương;Doanh nghiệp;Quản lý bán hàng đa cấp (Bộ Công Thương);;;;;;
2.000309.H17;Đăng ký hoạt động bán hàng đa cấp tại địa phương;Doanh nghiệp;Quản lý bán hàng đa cấp (Bộ Công Thương);;;;;;
2.000619.H17;Thông báo chấm dứt hoạt động bán hàng đa cấp tại địa phương;Doanh nghiệp;Quản lý bán hàng đa cấp (Bộ Công Thương);;;;;;
2.000609.H17;Thông báo tổ chức hội nghị, hội thảo, đào tạo về bán hàng đa cấp;Doanh nghiệp;Quản lý bán hàng đa cấp (Bộ Công Thương);;;;;;
2.000002.H17;Đăng ký sửa đổi, bổ sung nội dung chương trình khuyến mại đối với chương trình khuyến mại mang tính may rủi thực hiện trên địa bàn 1 tỉnh, thành phố trực thuộc Trung ương;Doanh nghiệp;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.000131.H17;Đăng ký tổ chức Hội chợ, Triển lãm thương mại tại Việt Nam.;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.001175.H17;Cấp lại giấy chứng nhận đủ điều kiện sản xuất hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Tổ chức (không bao gồm doanh nghiệp, HTX);Hóa chất (Bộ Công Thương);;;;;;
2.001161.H17;Cấp lại giấy chứng nhận đủ điều kiện kinh doanh hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Tổ chức (không bao gồm doanh nghiệp, HTX);Hóa chất (Bộ Công Thương);;;;;;
2.001172.H17;Cấp điều chỉnh giấy chứng nhận đủ điều kiện sản xuất hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Tổ chức (không bao gồm doanh nghiệp, HTX);Hóa chất (Bộ Công Thương);;;;;;
2.000652.H17;Cấp điều chỉnh giấy chứng nhận đủ điều kiện kinh doanh hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Tổ chức (không bao gồm doanh nghiệp, HTX);Hóa chất (Bộ Công Thương);;;;;;
2.001547.H17;Cấp giấy chứng nhận đủ điều kiện sản xuất hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Tổ chức (không bao gồm doanh nghiệp, HTX);Hóa chất (Bộ Công Thương);;;;;;
1.002758.H17;Cấp giấy chứng nhận đủ điều kiện kinh doanh hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Tổ chức (không bao gồm doanh nghiệp, HTX);Hóa chất (Bộ Công Thương);;;;;;
2.000073.H17;Cấp Giấy chứng nhận đủ điều kiện trạm nạp LPG vào chai;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000194.H17;Cấp Giấy chứng nhận đủ điều kiện trạm nạp LPG vào xe bồn;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000201.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện trạm nạp LPG vào chai;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000175.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện trạm nạp LPG vào xe bồn;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000207.H17;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào chai;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000187.H17;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào xe bồn;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000221.H17;Cấp giấy chứng nhận huấn luyện kỹ thuật an toàn tiền chất thuốc nổ thuộc thẩm quyền của Sở Công Thương;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Vật liệu nổ công nghiệp, tiền chất thuốc nổ (Bộ Công Thương);;;;;;
2.000172.H17;Cấp lại Giấy chứng nhận huấn luyện kỹ thuật an toàn tiền chất thuốc nổ thuộc thẩm quyền của Sở Công Thương;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Vật liệu nổ công nghiệp, tiền chất thuốc nổ (Bộ Công Thương);;;;;;
2.000196.H17;Cấp Giấy chứng nhận đủ điều kiện trạm nạp LPG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000163.H17;Cấp Giấy chứng nhận đủ điều kiện trạm nạp CNG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000387.H17;Cấp Giấy chứng nhận đủ điều kiện trạm nạp LNG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000211.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện trạm nạp CNG vào phương tiện vận tải;"Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000180.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện trạm nạp LPG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
1.000444.H17;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp CNG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000376.H17;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LNG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000371.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện trạm nạp LNG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
1.000425.H17;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào phương tiện vận tải;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000001.H17;Đăng ký sửa đổi, bổ sung nội dung tổ chức hội chợ, triển lãm thương mại tại Việt Nam.;Doanh nghiệp;Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.001434.H17;Cấp Giấy phép sử dụng vật liệu nổ công nghiệp thuộc thẩm quyền giải quyết của Ủy ban nhân dân cấp tỉnh;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Vật liệu nổ công nghiệp, tiền chất thuốc nổ (Bộ Công Thương);;;;;;
2.000272.H17;Cấp giấy phép kinh doanh đồng thời với giấy phép lập cơ sở bán lẻ được quy định tại Điều 20 Nghị định số 09/2018/NĐ-CP;Tổ chức nước ngoài;Thương mại quốc tế (Bộ Công Thương);;;;;;
2.001433.H17;Cấp lại Giấy phép sử dụng vật liệu nổ công nghiệp thuộc thẩm quyền giải quyết của Ủy ban nhân dân cấp tỉnh;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Vật liệu nổ công nghiệp, tiền chất thuốc nổ (Bộ Công Thương);;;;;;
2.000361.H17;Cấp giấy phép lập cơ sở bán lẻ thứ nhất, cơ sở bán lẻ ngoài cơ sở bán lẻ thứ nhất thuộc trường hợp không phải thực hiện thủ tục kiểm tra nhu cầu kinh tế (ENT);Tổ chức nước ngoài;Thương mại quốc tế (Bộ Công Thương);;;;;;
1.000774.H17;Cấp giấy phép lập cơ sở bán lẻ ngoài cơ sở bán lẻ thứ nhất thuộc trường hợp phải thực hiện thủ tục kiểm tra nhu cầu kinh tế (ENT);"Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Thương mại quốc tế (Bộ Công Thương);;;;;;
2.000339.H17;Điều chỉnh tên, mã số doanh nghiệp, địa chỉ trụ sở chính, tên, địa chỉ của cơ sở bán lẻ, loại hình của cơ sở bán lẻ, điều chỉnh giảm diện tích của cơ sở bán lẻ trên Giấy phép lập cơ sở bán lẻ;"Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Thương mại quốc tế (Bộ Công Thương);;;;;;
2.000229.H17;Cấp giấy chứng nhận huấn luyện kỹ thuật an toàn vật liệu nổ công nghiệp thuộc thẩm quyền của Sở Công Thương;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Vật liệu nổ công nghiệp, tiền chất thuốc nổ (Bộ Công Thương);;;;;;
2.000334.H17;"Điều chỉnh tăng diện tích cơ sở bán lẻ thứ nhất trong trung tâm thương mại; tăng diện dích cơ sở bán lẻ ngoài cơ sở bán lẻ thứ nhất được lập trong trung tâm thương mại và không thuộc loại hình cửa hàng tiện lợi, siêu thị mini, đến mức dưới 500m2";Tổ chức nước ngoài;Thương mại quốc tế (Bộ Công Thương);;;;;;
2.000322.H17;Điều chỉnh tăng diện tích cơ sở bán lẻ thứ nhất không nằm trong trung tâm thương mại;Tổ chức nước ngoài;Thương mại quốc tế (Bộ Công Thương);;;;;;
2.002166.H17;Điều chỉnh tăng diện tích cơ sở bán lẻ khác và trường hợp cơ sở ngoài cơ sở bán lẻ thứ nhất thay đổi loại hình thành cửa hàng tiện lợi, siêu thị mini;Tổ chức (không bao gồm doanh nghiệp, HTX);Thương mại quốc tế (Bộ Công Thương);;;;;;
2.000665.H17;Cấp lại Giấy phép lập cơ sở bán lẻ;"Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Thương mại quốc tế (Bộ Công Thương);;;;;;
1.001441.H17;Gia hạn Giấy phép lập cơ sở bán lẻ;"Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Thương mại quốc tế (Bộ Công Thương);;;;;;
2.000662.H17;Cấp Giấy phép lập cơ sở bán lẻ cho phép cơ sở bán lẻ được tiếp tục hoạt động;"Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Thương mại quốc tế (Bộ Công Thương);;;;;;
2.000166.H17;Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LNG;Doanh nghiệp;Kinh doanh khí (Bộ Công Thương);;;;;;
2.000354.H17;Cấp Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán CNG;Doanh nghiệp;Kinh doanh khí (Bộ Công Thương);;;;;;
2.000142.H17;Cấp Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LPG;Doanh nghiệp;Kinh doanh khí (Bộ Công Thương);;;;;;
2.000136.H17;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LPG;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000279.H17;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán CNG;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
1.000481.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán CNG;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000156.H17;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LNG;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000078.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LPG;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000390.H17;Cấp điều chỉnh Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LNG;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài";Kinh doanh khí (Bộ Công Thương);;;;;;
2.000255.H17;Cấp Giấy phép kinh doanh cho tổ chức kinh tế có vốn đầu tư nước ngoài để thực hiện quyền phân phối bán lẻ hàng hóa;Tổ chức nước ngoài;Thương mại quốc tế (Bộ Công Thương);;;;;;
